Hubina	48.61794	17.88475
Hubovo	48.39984	20.36882
Hubová	49.11689	19.1902
Hubošovce	49.09644	21.20545
Hucín	48.56416	20.29673
Hudcovce	48.90902	21.78911
Hul	48.09907	18.2633
Humenné	48.93707	21.91625
Huncovce	49.11501	20.37672
Hunkovce	49.36019	21.65187
Hurbanova Ves	48.15287	17.4414
Hurbanovo	47.86984	18.19233
Husiná	48.34255	19.88196
Husák	48.69905	22.28787
Hutka	49.39802	21.43055
Huty	49.39924	20.43697
Hviezdoslavov	48.0679	17.34787
Hvozdnica	49.2104	18.48942
Hybe	49.04439	19.82895
Háj	48.62971	20.85257
Hájske	48.25804	17.87493
Hôrka	49.01667	20.03333
Hôrka nad Váhom	48.72066	17.8924
Hôrky	49.20473	18.69308
Hýľov	48.73029	21.10604
Igram	48.28544	17.46235
Ihráč	48.58333	18.95
Ihľany	49.17952	20.56894
Ilava	48.99769	18.2353
Iliašovce	48.99156	20.52651
Ilija	48.4192	18.89899
Imeľ	47.90403	18.14169
Inovce	48.82302	22.35901
Ipeľské Predmostie	48.0625	19.05592
Ipeľské Úľany	48.12545	19.04991
Ipeľský Sokolec	48.01891	18.80577
Istebné	49.21511	19.22166
Ivachnová	49.09937	19.41802
Ivanice	48.32916	20.23657
Ivanka pri Dunaji	48.18675	17.2554
Ivanka pri Nitre	48.24295	18.11617
Ivanovce	48.83008	17.90749
Ivančiná	49.05	18.95
Iňa	48.16979	18.42151
Iňačovce	48.69729	22.03189
Iža	47.75198	18.22763
Ižipovce	49.14051	19.49112
Ižkovce	48.55703	21.95644
Jablonec	48.33204	17.44789
Jablonica	48.60604	17.42172
Jablonka	48.72864	17.616
Jablonov	49.01655	20.72563
Jablonov nad Turňou	48.58962	20.67589
Jablonové	49.18389	18.5645
Jabloň	49.06653	21.9794
Jabloňovce	48.31853	18.78891
Jacovce	48.59446	18.1347
Jahodná	48.76572	21.12438
Jaklovce	48.87172	20.98801
Jakovany	49.15298	21.07133
Jakubany	49.24813	20.6959
Jakubov	48.41667	16.93333
Jakubova Voľa	49.13227	21.01556
Jakubovany	49.10558	21.14102
Jakušovce	49.15799	21.74982
Jalovec	49.13629	19.62948
Jalová	49.03899	22.23736
Jalšové	48.50936	17.82752
Jalšovík	48.27014	19.03955
Jamník	48.94374	20.66284
Janice	48.28024	20.21444
Jankovce	49.05859	21.79685
Janov	48.93891	21.17846
Janova Lehota	48.65498	18.78375
Janovce	49.18969	21.30616
Janovík	48.83333	21.25
Janík	48.55483	20.96882
Janíky	48.13983	17.39757
Jarabina	49.33561	20.65668
Jarabá	48.88917	19.68901
Jarok	48.27541	17.95913
Jarovnice	49.05801	21.05806
Jasenica	48.56308	19.01217
Jasenie	48.83878	19.4597
Jasenov	48.90463	21.90325
Jasenovce	48.99461	21.74483
Jasenovo	48.87903	18.7243
Jasenová	49.17636	19.29568
Jasenové	49.11061	18.63648
Jaslovské Bohunice	48.47553	17.64736
Jasov	48.68259	20.97566
Jasová	47.989	18.39712
